ANT1,9.24,97.05,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,6.04,86.39,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-21.84,66.16,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,1.09,85.17,90.00,N.C,NORDIC_NRF_3_RESC0201_L
C11,1.06,86.55,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,-0.40,88.66,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,-1.81,88.99,90.00,N.C,NORDIC_NRF_3_RESC0201_L
C14,-9.38,86.34,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C15,-4.66,88.63,90.00,1.0uF,NORDIC_NRF_3_RESC0402_L
C16,-3.21,88.75,90.00,47Nf,NORDIC_NRF_3_RESC0201_L
C17,-11.74,85.01,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-11.79,86.31,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,0.86,93.75,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,8.21,88.79,90.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-17.47,69.54,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,-9.38,78.74,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C21,-6.54,77.87,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C22,2.01,80.39,270.00,N.C,NORDIC_NRF_3_RESC0201_L
C23,-14.08,90.94,180.00,0.1uF,NORDIC_NRF_3_RESC0402_L
C24,-19.56,90.79,180.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-16.51,94.71,90.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,-12.99,87.66,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C29,-6.29,72.88,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C3,0.31,83.79,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,1.11,72.62,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C31,-2.59,72.70,270.00,1uF,NORDIC_NRF_3_RESC0402_L
C32,11.49,92.76,90.00,1uF,NORDIC_NRF_3_RESC0402_L
C33,-18.19,97.04,270.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,1.91,89.11,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-22.64,96.96,90.00,1uF,PERFECT_0402_0402
C38,-19.74,96.95,90.00,1uF,PERFECT_0402_0402
C39,-21.34,96.97,90.00,10uF,PERFECT_0402_0402
C4,0.81,80.37,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,-12.34,93.45,270.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C43,9.23,67.76,0.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,-9.35,87.44,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-9.33,79.94,180.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C7,-1.94,78.20,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,-3.94,78.15,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,0.36,82.20,270.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,-11.44,70.07,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,-12.34,96.86,90.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,-11.40,66.37,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,-11.38,73.72,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,-15.40,85.14,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C10,-15.44,78.86,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C11,-15.38,77.76,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C12,-15.38,76.54,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C2,-15.39,86.14,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C5,-15.74,84.16,180.00,0.1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-15.38,83.16,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C7,-15.42,82.06,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C8,-15.46,81.06,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
EPD_C9,-15.50,79.96,180.00,1uF/50V,NORDIC_NRF_3_RESC0402_L
IC1,-19.22,93.04,0.00,BQ25180YBGR_BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,14.07,92.54,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,3.48,92.94,180.00,BMA421,BMA423_BMA423
IC9,-22.92,91.64,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J2,11.15,77.52,180.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,-5.00,95.70,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
J5,-19.62,81.68,270.00,503480-2400,503480-2400_5034802400
L1,2.64,83.01,0.00,3.9nH,MLP2016SR47MT0S1_INDC2016X100N
L2,-6.71,88.09,90.00,10uH,NORDIC_NRF_2_RESC0402_L
L3,-6.71,90.24,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,-25.62,71.77,0.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,-26.99,90.99,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,8.01,93.33,0.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,-19.65,71.85,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,-23.65,94.55,0.00,3K3,CPF0201D7K68C1_0201
R18,-22.89,94.55,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,5.87,95.05,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,8.01,91.45,0.00,5K1,CPF0201D7K68C1_0201
R2,-21.53,94.55,0.00,0,CPF0201D7K68C1_0201
R2-USB1,-2.87,90.85,0.00,5K1,CPF0201D7K68C1_0201
R2_EP_DR,-19.69,69.55,180.00,10K,CPF0201D7K68C1_0201
R3,-13.55,85.25,0.00,0,CPF0201D7K68C1_0201
R4,-22.19,94.55,0.00,0,CPF0201D7K68C1_0201
R5,-5.15,75.05,0.00,10K,CPF0201D7K68C1_0201
R7,1.19,74.95,0.00,10K,CPF0201D7K68C1_0201
R8,-2.43,75.05,0.00,10K,CPF0201D7K68C1_0201
R9,-16.63,91.85,180.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD1,-22.37,68.25,0.00,10k,CPF0201D7K68C1_0201
R_TYPE_SEL,-21.41,69.55,0.00,2.2,CPF0201D7K68C1_0201
SJ1,-25.49,67.83,180.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN1,-16.74,67.40,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT1,-5.86,67.45,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP1,5.19,67.40,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,12.66,84.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,14.57,68.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND1,3.01,96.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,10.35,84.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,14.97,86.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,10.38,89.77,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,14.95,84.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-25.71,95.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-26.92,93.99,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,12.51,86.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,14.48,70.89,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,11.74,70.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT1,-15.71,97.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-15.17,89.09,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,-3.76,83.25,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-10.76,89.61,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,5.89,88.52,0.00,32MHZ,NORDIC_NRF_BT-XTAL_2016_N
X2,-9.35,83.01,90.00,32.768kHZ,NORDIC_NRF_1_XTAL_3215_N
